Round#,Training Loss,ACC,Pre,recall,f1-score,
77,1.69682735,0.43335394,0.429389412,0.43335394,0.425928843,1.716849913
78,1.669731598,0.436652408,0.431670966,0.436652408,0.429719208,1.68943443
79,1.690374898,0.429387684,0.425218391,0.429387684,0.421303654,1.710321322
80,1.695613939,0.430541136,0.42619758,0.430541136,0.424212885,1.715622184
81,1.682655574,0.434203852,0.430523204,0.434203852,0.427646046,1.702510909
82,1.677772087,0.434649044,0.431637468,0.434649044,0.430418139,1.697569797
83,1.689340549,0.433009928,0.427127566,0.433009928,0.425847122,1.709274767
84,1.670779584,0.437684444,0.431209279,0.437684444,0.432041982,1.690494783
85,1.666435061,0.440213944,0.438088888,0.440213944,0.435990311,1.686098995
86,1.7038913,0.440375832,0.438312463,0.440375832,0.433961495,1.723997217
87,1.682016406,0.43831176,0.434085283,0.43831176,0.431963083,1.701864199
88,1.68891088,0.441023384,0.435930875,0.441023384,0.434898733,1.708840028
89,1.676994966,0.442520848,0.438387218,0.442520848,0.437416372,1.696783507
90,1.674713608,0.442743444,0.437428026,0.442743444,0.435430602,1.694475228
91,1.672014241,0.440578192,0.437040402,0.440578192,0.430998939,1.691744009
92,1.666275961,0.445111056,0.439799658,0.445111056,0.438073867,1.685938017
93,1.654166459,0.447053712,0.441469702,0.447053712,0.438829218,1.673685624
94,1.659422992,0.44741796,0.441616981,0.44741796,0.440509861,1.679004183
95,1.669150734,0.444402796,0.443939803,0.444402796,0.436236664,1.688846712
96,1.692277479,0.4426625,0.439116214,0.4426625,0.433183876,1.712246354
97,1.673784601,0.44701324,0.443616607,0.44701324,0.44152924,1.693535259
98,1.668120634,0.449380852,0.447137312,0.449380852,0.443440871,1.687804457
99,1.67174881,0.449886752,0.445691349,0.449886752,0.443004085,1.691475446
100,1.66533727,0.451303272,0.446856991,0.451303272,0.445017864,1.68498825
