client#,Round#,Training Loss,ACC,Pre,Recall,f1-score
6,55,0.21574566,0.933015873015873,0.9327382573871571,0.9333027424532542,0.9326204746923249
7,55,0.25374848,0.9255555555555556,0.9259133278596124,0.9244992691193057,0.924777498870815
8,55,0.22904374,0.9336507936507936,0.9340808313408807,0.9326361760790102,0.9330944586070498
9,55,0.22601527,0.9296825396825397,0.9298232918246354,0.9289671609395829,0.9290509700924593
10,55,0.23385367,0.9274603174603174,0.927564244690789,0.9270112790805506,0.927069698988978
1,56,0.22478779,0.9333333333333333,0.9333245074358121,0.9328752388436479,0.9329624759079318
2,56,0.2204881,0.937936507936508,0.9375542466365412,0.9372776893222692,0.9371578914086743
3,56,0.21921925,0.9358730158730159,0.9353164144819498,0.9355927961146104,0.9352243634429925
4,56,0.20996924,0.9371428571428572,0.9373365882741244,0.9362063939236395,0.9365677847520374
5,56,0.20874856,0.939047619047619,0.9384424931446669,0.9380186983011422,0.9380816361295704
6,56,0.21240714,0.9346031746031747,0.9344527501425528,0.9343183491391486,0.9341871714079092
7,56,0.25111207,0.9246031746031746,0.9243377159581652,0.924277960205,0.9241188363501729
8,56,0.23092578,0.9328571428571428,0.9332466830307624,0.9323200668334575,0.9324858537354365
9,56,0.22814095,0.9314285714285714,0.930920758019222,0.931394662845018,0.9309194933596414
10,56,0.23577003,0.9271428571428572,0.928566775074797,0.926710576251993,0.9270879168040093
1,57,0.22826019,0.9326984126984127,0.9321828182133686,0.9325607983485993,0.9321989138174833
2,57,0.22341956,0.9323809523809524,0.9322368402425116,0.9308996394138447,0.9309007405843472
3,57,0.21911602,0.9338095238095238,0.9336787330138291,0.9332932687659481,0.9333603281507509
4,57,0.20955358,0.9342857142857143,0.9335749350083153,0.9335121781249749,0.933408493160584
5,57,0.20031518,0.9414285714285714,0.9412780198850841,0.9398960248828832,0.9403921132243619
6,57,0.21336289,0.9336507936507936,0.9335012978000707,0.9337941114655116,0.9333070679859874
7,57,0.23443921,0.9303174603174603,0.9295647020515941,0.9292393638102878,0.9292689608213998
8,57,0.23547494,0.929047619047619,0.9294668363236278,0.9284193298478691,0.928525884688608
9,57,0.22056454,0.933968253968254,0.9339716595468974,0.9334372397533477,0.9336206600086456
10,57,0.2531808,0.9253968253968254,0.925182206829225,0.9251636029723805,0.92492916749925
1,58,0.2276337,0.933968253968254,0.9341851665515118,0.9334152534573782,0.9336363714800017
2,58,0.2243638,0.9353968253968254,0.9347030262799272,0.9346918862062316,0.9345587089205635
3,58,0.22664396,0.9333333333333333,0.934269853150421,0.9327232998089159,0.9330082946536737
4,58,0.19845699,0.9380952380952381,0.9383221460836324,0.9376849817861521,0.937804042207054
5,58,0.21275863,0.9346031746031747,0.9353444568452863,0.9336563263787612,0.9337896955544114
6,58,0.21146534,0.9336507936507936,0.9336532632499397,0.9333405699448649,0.933271274952876
7,58,0.25086394,0.9250793650793651,0.9243731722390665,0.923950650821092,0.9239591772400457
8,58,0.22590664,0.9355555555555556,0.9353017537601719,0.9352036946396091,0.9350518497359941
9,58,0.2274113,0.9307936507936508,0.931263883572757,0.9297903527857176,0.9302334582271389
10,58,0.22524975,0.9323809523809524,0.9325711673052336,0.9323885097578778,0.9322426318351331
1,59,0.22628403,0.9325396825396826,0.9327523618509946,0.9319423243020399,0.9322291183270964
2,59,0.22992393,0.9326984126984127,0.9335114578523542,0.9314186674738363,0.9320826307837489
3,59,0.2276215,0.9336507936507936,0.9337524266715429,0.93331016724826,0.9333975702259186
4,59,0.20661008,0.9347619047619048,0.9339020770708044,0.933813651841316,0.9336582622435297
5,59,0.21548945,0.9357142857142857,0.9355691253433254,0.934475889893369,0.9346546188997291
6,59,0.21575591,0.9346031746031747,0.9351612230308636,0.9344611023917988,0.9344839717549895
7,59,0.23691146,0.9277777777777778,0.9272324788025743,0.9267281063522104,0.9267181913618894
8,59,0.22813109,0.9306349206349206,0.9312881582185358,0.9305626023336755,0.9306015125291177
9,59,0.21205714,0.9363492063492064,0.9361263764601164,0.9357619386778813,0.9358455844935465
10,59,0.23213476,0.9287301587301587,0.9289301080533761,0.9284520984849616,0.9286277610119822
1,60,0.23516716,0.933015873015873,0.9332975642298873,0.9325663540822399,0.9326455717782658
2,60,0.2165363,0.9358730158730159,0.9354693010582855,0.9350893512621026,0.9350406387221675
3,60,0.21590333,0.9380952380952381,0.9386211807251994,0.9373509737659844,0.9378488274853514
4,60,0.21476309,0.9357142857142857,0.9357185354566389,0.9347646742289777,0.9349820935993257
5,60,0.19964615,0.9396825396825397,0.9391745027313829,0.9386216274013858,0.9387931076652363
6,60,0.2073707,0.9349206349206349,0.9349988092670489,0.9346662308640568,0.9346281482422801
7,60,0.23261526,0.9334920634920635,0.9325729635793225,0.9326542382429299,0.9325524220627359
8,60,0.22596733,0.9336507936507936,0.9329660259711259,0.9337237438658459,0.9331765215544138
9,60,0.21478806,0.9385714285714286,0.9382688482821335,0.9381275410559002,0.9380823624806922
10,60,0.2115757,0.9342857142857143,0.9340701998667521,0.9339275769366692,0.9339246902163602
1,61,0.22006595,0.9322222222222222,0.9318541761214568,0.9313348407717588,0.9314282295880425
2,61,0.21371868,0.9387301587301587,0.939285851718308,0.9377429217193567,0.9382133077664461
3,61,0.21472064,0.9338095238095238,0.9345066334595122,0.9332739167514411,0.9336435418045165
4,61,0.20696048,0.9380952380952381,0.9382763366253262,0.9372520708335761,0.9375868346669721
5,61,0.20076428,0.9350793650793651,0.9346585779914001,0.9341165743134793,0.934044471991047
6,61,0.21114133,0.936984126984127,0.9370350237706384,0.9370797522807187,0.936859589717119
7,61,0.2340853,0.926984126984127,0.9262199336463363,0.9267204898139525,0.9262488814558024
8,61,0.2219719,0.9355555555555556,0.9349288200011119,0.9351883659807614,0.9348793787137517
9,61,0.20815015,0.9342857142857143,0.9340935830618957,0.9335213123306124,0.9337452547676162
10,61,0.22139432,0.9315873015873016,0.932160242274709,0.9312119649638095,0.9313159492624642
1,62,0.21693768,0.9346031746031747,0.9344932271378108,0.9343544452519611,0.934256863681972
2,62,0.22529304,0.932063492063492,0.9334317406843702,0.9306136205076113,0.931383141740007
3,62,0.21095021,0.9398412698412698,0.9395683763631434,0.9395008615327616,0.9394511172674351
4,62,0.19996849,0.9353968253968254,0.9360654972748914,0.9347487978097613,0.9350839555470947
